OrigCountryName,Country,CountryCode,SubContinent,SubContCode,Continent,ContCode,Develop
Dominica,Dominica,212,Caribbean,29,Americas,19,Developing
Dominican Republic,Dominican Republic,214,Caribbean,29,Americas,19,Developing
Ecuador,Ecuador,218,South America,5,Americas,19,Developing
Egypt,Egypt,818,Northern Africa,15,Africa,2,Developing
El Salvador,El Salvador,222,Central America,13,Americas,19,Developing
Equatorial Guinea,Equatorial Guinea,226,Middle Africa,17,Africa,2,Developing
Eritrea,Eritrea,232,Eastern Africa,14,Africa,2,Developing
Estonia,Estonia,233,Northern Europe,154,Europe,150,Developed
Ethiopia,Ethiopia,231,Eastern Africa,14,Africa,2,Developing
Faeroe Islands,Faeroe Islands,234,Northern Europe,154,Europe,150,Developed
Falkland Is. (Malvinas),Falkland Islands,238,South America,5,Americas,19,Developing
Fiji,Fiji,242,Melanesia,54,Oceania,9,Developing
Finland,Finland,246,Northern Europe,154,Europe,150,Developed
France,France,250,Western Europe,155,Europe,150,Developed
French Guiana,French Guiana,254,South America,5,Americas,19,Developing
French Polynesia,French Polynesia,258,Polynesia,61,Oceania,9,Developing
Gabon,Gabon,266,Middle Africa,17,Africa,2,Developing
Gambia,Gambia,270,Western Africa,11,Africa,2,Developing
Georgia,Georgia,268,Western Asia,145,Asia,142,Developing
Germany,Germany,276,Western Europe,155,Europe,150,Developed
Ghana,Ghana,288,Western Africa,11,Africa,2,Developing
Gibraltar,Gibraltar,292,Southern Europe,39,Europe,150,Developed
Greece,Greece,300,Southern Europe,39,Europe,150,Developed
Greenland,Greenland,304,Northern America,21,Americas,19,Developed
Grenada,Grenada,308,Caribbean,29,Americas,19,Developing
Guadeloupe,Guadeloupe,312,Caribbean,29,Americas,19,Developing
Guam,Guam,316,Micronesia,57,Oceania,9,Developing
Guatemala,Guatemala,320,Central America,13,Americas,19,Developing
Guernsey,Guernsey,831,Northern Europe,154,Europe,150,Developed
Guinea,Guinea,324,Western Africa,11,Africa,2,Developing
Guinea-Bissau,Guinea Bissau,624,Western Africa,11,Africa,2,Developing
Guyana,Guyana,328,South America,5,Americas,19,Developing
Haiti,Haiti,332,Caribbean,29,Americas,19,Developing
Honduras,Honduras,340,Central America,13,Americas,19,Developing
Hungary,Hungary,348,Eastern Europe,151,Europe,150,Developed
Iceland,Iceland,352,Northern Europe,154,Europe,150,Developed
India,India,356,Southern Asia,34,Asia,142,Developing
Indonesia,Indonesia,360,South-Eastern Asia,35,Asia,142,Developing
Iran(Islamic Rep. of),Iran,364,Southern Asia,34,Asia,142,Developing
Iraq,Iraq,368,Western Asia,145,Asia,142,Developing
Ireland,Ireland,372,Northern Europe,154,Europe,150,Developed
Isle of Man,Isle of Man,833,Northern Europe,154,Europe,150,Developed
Israel,Israel,376,Western Asia,145,Asia,142,Developing
Italy,Italy,380,Southern Europe,39,Europe,150,Developed
Jamaica,Jamaica,388,Caribbean,29,Americas,19,Developing
Japan,Japan,392,Eastern Asia,30,Asia,142,Developed
